Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
08_Consumer Finance_POL_DB_11_GetPaymentHistory,1855,11567,22,44942,10922.27,2.372%,.25785,0.99,0.17,3912.0
09_Consumer Finance_POL_DB_10_GetBeneficiaryInfo,1850,221,4,954,101.83,0.000%,.25777,0.29,0.17,1149.1
10_Unitlink_POL_DB_13_GetCurrentAVInfo,8067,717,350,9037,202.75,0.000%,1.12271,1.38,0.76,1262.6
11_Unitlink_POL_DB_12_GetCoverageOverview,8067,708,15,9007,316.47,0.000%,1.12270,0.86,0.65,782.0
09_OL_POL_DB_07_GetDividendInfo,14186,7631,2187,22312,2432.21,0.000%,1.97304,5.94,1.33,3082.6
11_OL_POL_DB_10_GetBeneficiaryInfo,14180,1296,8,11134,883.90,0.000%,1.97377,1.95,1.33,1013.9
12_OL_POL_DB_12_GetCoverageOverview,14177,4545,983,74839,3752.78,0.049%,1.97304,2.79,1.13,1447.8
13_OL_POLICY_DB_14 [SearchConsent],14172,385,74,9463,204.20,0.000%,1.97371,2.29,1.12,1188.8
14_OL_POLICY_DB_15 [InsertConsent],14172,1473,61,75377,8488.88,0.007%,1.95536,1.46,1.85,765.3
15_OL_POLICY_DB_16 [ListPolicyDue],14168,5759,914,210372,5500.74,0.007%,1.97271,1.69,1.12,877.3
TOTAL,758866,1841,3,210372,3839.82,0.123%,104.41305,136.70,71.02,1340.6
