Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
07_OL_POL_DB_03_NextPayPeriod,6266,414,220,11248,304.22,0.000%,1.74434,2.32,1.43,1361.5
2_Member Profile_MEMBER02 [SearchMonthlyIncome],1046,27,8,5689,178.93,0.000%,.29148,0.34,0.16,1202.2
3_Member Profile_MEMBER03 [SearchFavoriteActivity],1046,26,8,2295,96.05,0.000%,.29148,0.42,0.16,1461.2
02_Consumer Finance_POL_DB_01_SearchPolicyByCustomerId,722,1095,648,12620,712.55,0.000%,.20117,0.40,0.11,2058.2
06_Credit Life_POL_DB_05_GetRiderDetial,925,273,31,11478,603.10,0.000%,.36428,0.59,0.24,1659.1
07_Credit Life_POL_DB_03_NextPayPeriod,925,24,2,9178,332.97,0.000%,.36408,0.42,0.30,1185.2
07_Unitlink_POL_DB_03_NextPayPeriod,233,387,274,678,48.19,0.000%,.81963,0.97,0.67,1216.6
08_Unitlink_POL_DB_11_GetPaymentHistory,233,1745,90,9511,1841.44,0.000%,.81460,3.82,0.54,4808.2
03_Consumer Finance_MEMBER01 [SearchProfileByCustomerId],722,86,38,571,61.33,0.000%,.20119,0.23,0.11,1193.0
04_Consumer Finance_POL_DB_02_02_PolicyDetailsCL,722,295,16,6349,397.93,0.000%,.20109,0.25,0.12,1271.6
09_Unitlink_POL_DB_10_GetBeneficiaryInfo,233,97,6,1298,151.01,0.000%,.78908,0.78,0.52,1009.5
4_Member Profile_MEMBER04 [SearchHospitalRegularly],1046,38,14,5640,184.32,0.000%,.29169,8.81,0.16,30940.0
09_Universal Life_POL_DB_04_GetLoanPremum,7469,2343,90,74639,9353.73,1.674%,2.06805,1.76,1.35,872.3
10_Universal Life_POL_DB_10_GetBeneficiaryInfo,7454,98,3,10572,375.52,0.000%,2.07734,2.02,1.37,993.5
CUS-20_searchCustomer,538,7607,4655,10359,1987.61,0.000%,.14948,0.38,0.10,2584.0
11_Universal Life_POL_DB_12_GetCoverageOverview,7450,44,9,10723,291.15,0.000%,2.07682,1.56,1.16,770.0
CUS-21_SearchByCustomerRef,537,136,55,636,58.85,0.000%,.15012,0.21,0.09,1410.3
5_Member Profile_MEMBER05 [SearchEmergencyContact],1046,35,8,6134,231.16,0.000%,.29154,0.22,0.16,775.1
CUS-22_DisplayPolicyList,537,918,576,11370,761.98,0.000%,.15005,0.21,0.07,1412.3
6_Member Profile_MEMBER07 [UpdateCustomer],1045,38,8,4163,186.39,0.000%,.29162,0.18,0.19,636.0
7_Member Profile_MEMBER08 [UpdateMonthlyIncome],1045,48,10,4858,230.33,0.000%,.29162,0.18,0.61,636.0
8_Member Profile_MEMBER09 [UpdateFavoriteActivity],1045,39,10,4920,181.05,0.000%,.29139,0.18,0.57,627.0
10_Unitlink_POL_DB_13_GetCurrentAVInfo,233,1149,698,3083,350.58,0.000%,.77444,0.97,0.51,1286.5
11_Unitlink_POL_DB_12_GetCoverageOverview,233,29,11,162,21.60,0.000%,.77199,0.58,0.43,770.0
08_OL_POL_DB_11_GetPaymentHistory,6264,6348,4119,35693,1642.06,0.000%,1.74171,6.44,1.15,3784.4
09_OL_POL_DB_07_GetDividendInfo,6254,909,280,11766,606.47,0.000%,1.74368,5.15,1.15,3025.3
05_Consumer Finance_POL_DB_03_NextPayPeriod,721,93,3,10224,436.61,0.000%,.20126,0.25,0.17,1256.7
08_Credit Life_POL_DB_11_GetPaymentHistory,925,1402,12,8852,695.44,0.000%,.36477,0.30,0.24,839.9
09_Credit Life_POL_DB_10_GetBeneficiaryInfo,925,38,3,8864,309.96,1.622%,.36496,0.35,0.24,977.4
10_OL_POL_DB_04_GetLoanPremum,6252,1215,115,49807,3782.19,0.000%,1.72966,1.71,1.14,1012.8
11_OL_POL_DB_10_GetBeneficiaryInfo,6241,94,3,10626,302.37,0.000%,1.74246,1.72,1.15,1010.5
9_Member Profile_MEMBER10 [UpdateHospitalRegularly],1044,52,12,5786,240.34,0.000%,.29157,0.18,0.32,628.9
06_Consumer Finance_POL_DB_05_GetRiderDetial,721,307,42,2032,162.36,0.000%,.20138,0.47,0.13,2366.9
12_OL_POL_DB_12_GetCoverageOverview,6233,1558,614,29467,1243.27,0.497%,1.73928,4.12,0.97,2425.5
13_OL_POLICY_DB_14 [SearchConsent],6230,109,51,10039,279.55,0.000%,1.74067,2.00,0.96,1177.3
10_Member Profile_MEMBER11 [UpdateEmergencyContact],1043,39,10,2715,135.39,0.000%,.29132,0.18,0.25,627.0
11_Member Profile_MEMBER13 [LookupRelationship],1042,31,8,4317,178.92,0.000%,.29112,0.61,0.17,2163.0
12_Member Profile_MEMBER16 [updateContactPOS],1041,1043,32,7365,995.08,0.000%,.29070,0.18,0.46,646.0
13_Member Profile_MEMBER17 [searchContactPOS],1040,38,10,4935,205.44,0.000%,.29087,0.28,0.18,977.3
07_Consumer Finance_POL_DB_03_NextPayPeriod,720,78,3,1601,94.25,0.000%,.20130,0.25,0.17,1256.7
CUS-23_receiptDetail,537,83,20,6726,294.93,0.000%,.15028,0.12,0.10,807.2
14_OL_POLICY_DB_15 [InsertConsent],6228,1219,32,75000,8587.55,0.000%,1.70911,1.26,1.61,753.2
15_OL_POLICY_DB_16 [ListPolicyDue],6224,1579,568,27646,1366.06,0.000%,1.74055,1.46,0.97,859.5
CUS-25_searchByNextPremiumSummary,537,1122,576,6250,501.45,0.000%,.15023,0.09,0.09,642.2
08_Consumer Finance_POL_DB_11_GetPaymentHistory,720,2334,20,15808,2075.87,0.000%,.20147,0.84,0.13,4277.7
14_Member Profile_MEMBER18 [SearchDiseaseRegularly],1040,34,11,1925,68.31,0.000%,.29142,0.53,0.17,1846.2
09_Consumer Finance_POL_DB_10_GetBeneficiaryInfo,719,43,3,6427,353.29,0.000%,.20171,0.22,0.13,1136.9
19_Member Profile_MEMBER19 [updateDiseaseRegularly],1040,42,12,2684,94.83,0.000%,.29128,0.18,0.84,624.9
TOTAL,248965,708,2,75000,2574.09,0.070%,67.86519,102.22,46.96,1542.3
