Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group_OL:11_OL_POL_DB_10_GetBeneficiaryInfo,2764,1295,56,6162,799.63,0.000%,1.78444,1.78,1.21,1021.1
Thread Group_OL:12_OL_POL_DB_12_GetCoverageOverview,2755,4533,1213,72451,4079.16,0.073%,1.77946,2.51,1.02,1443.3
Thread Group_OL:13_OL_POLICY_DB_14 [SearchConsent],2753,466,133,1275,153.43,0.000%,1.78052,2.05,1.01,1177.0
Thread Group_OL:14_OL_POLICY_DB_15 [InsertConsent],2751,1518,133,74718,8305.77,0.000%,1.77974,1.33,1.69,765.6
Consumer Finance Thread Group:08_Consumer Finance_POL_DB_11_GetPaymentHistory,302,17213,90,39926,10225.98,2.318%,.19530,1.08,0.13,5667.3
Consumer Finance Thread Group:09_Consumer Finance_POL_DB_10_GetBeneficiaryInfo,302,245,52,797,108.17,0.000%,.19701,0.22,0.13,1144.2
Thread Group_OL:15_OL_POLICY_DB_16 [ListPolicyDue],2744,5456,1066,89836,4806.86,0.000%,1.77588,1.57,1.01,905.8
11_Unitlink_POL_DB_12_GetCoverageOverview,5875,769,110,9138,307.15,0.000%,1.04310,0.80,0.60,782.0
13_OL_POLICY_DB_14 [SearchConsent],11054,391,89,6331,185.73,0.000%,1.96272,2.29,1.12,1192.5
7_Member Profile_MEMBER08 [UpdateMonthlyIncome],16110,268,17,8608,182.11,0.000%,2.86037,1.81,5.54,648.0
11_Member Profile_MEMBER13 [LookupRelationship],16110,258,21,5362,109.65,0.000%,2.86047,6.10,1.77,2184.6
09_Universal Life_POL_DB_04_GetLoanPremum,16379,2062,116,47067,3823.06,0.055%,2.89819,2.47,1.94,871.3
1_Member Profile_MEMBER01 [SearchProfileByCustomerId],16110,281,34,6391,122.35,0.000%,2.86039,4.55,1.67,1628.4
13_Member Profile_MEMBER17 [searchContactPOS],16110,264,27,6266,129.00,0.000%,2.86061,2.19,1.84,785.3
8_Member Profile_MEMBER09 [UpdateFavoriteActivity],16110,273,35,6395,156.79,0.000%,2.86038,1.81,3.26,648.0
14_OL_POLICY_DB_15 [InsertConsent],11055,1572,89,75324,8803.69,0.009%,1.95382,1.46,1.85,765.6
02_Universal Life_POL_DB_01_SearchPolicyByCustomerId,16377,5656,204,44959,5783.78,0.782%,2.89504,9.09,1.67,3216.0
04_OL_POL_DB_02_01_PolicyDetailsOL,11041,1322,18,11034,814.02,0.000%,1.95936,2.59,1.17,1353.8
01_OL_CSA-09 (LoginPIN),11041,409,93,8917,207.70,0.000%,1.96076,1.19,1.25,621.0
9_Member Profile_MEMBER10 [UpdateHospitalRegularly],16110,284,39,6394,154.91,0.000%,2.86049,1.82,2.93,649.9
08_Credit Life_POL_DB_11_GetPaymentHistory,5647,907,47,9607,679.59,0.000%,1.00248,0.82,0.68,837.8
07_Unitlink_POL_DB_03_NextPayPeriod,5877,400,140,8920,192.29,0.000%,1.04363,1.23,0.85,1205.8
09_Credit Life_POL_DB_10_GetBeneficiaryInfo,5647,252,5,8614,150.80,1.452%,1.00280,0.97,0.69,988.6
OL_CSA-07 (LoginCsa),11047,1526,919,9883,356.94,0.000%,1.96071,1.64,1.59,857.1
02_OL_POL_DB_01_SearchPolicyByCustomerId,11046,3483,784,42696,2911.04,0.100%,1.95997,3.88,1.13,2027.9
01_Unitlink_CSA-09 (LoginPIN),5877,393,108,8815,175.37,0.000%,1.04359,0.63,0.72,621.0
01_Universal Life_CSA-09 (LoginPIN),16362,397,86,8941,162.87,0.000%,2.90507,1.76,2.01,621.5
10_Member Profile_MEMBER11 [UpdateEmergencyContact],16109,270,26,8612,128.46,0.000%,2.86040,1.81,2.37,648.0
12_OL_POL_DB_12_GetCoverageOverview,11061,4779,1099,74645,3998.89,0.063%,1.96110,2.77,1.13,1448.9
08_Universal Life_POL_DB_11_GetPaymentHistory,16381,5743,101,42660,6547.06,0.244%,2.89606,6.38,1.94,2256.1
05_Universal Life_POL_DB_03_NextPayPeriod,16365,424,163,8699,186.63,0.000%,2.90586,3.40,2.34,1198.4
11_OL_POL_DB_10_GetBeneficiaryInfo,11056,1386,28,10936,941.08,0.000%,1.96205,1.94,1.32,1011.9
06_Unitlink_POL_DB_05_GetRiderDetial,5877,371,12,8621,383.56,0.000%,1.04355,1.20,0.70,1177.4
08_OL_POL_DB_11_GetPaymentHistory,11063,11156,1325,44615,8144.17,1.356%,1.95764,6.71,1.32,3511.7
CSA-07 (LoginCsa),29350,1501,216,10021,330.07,0.000%,5.20944,4.36,4.22,857.7
2_Member Profile_MEMBER02 [SearchMonthlyIncome],16109,262,15,8707,141.69,0.000%,2.86044,3.51,1.65,1257.2
05_OL_POL_DB_03_NextPayPeriod,11041,456,167,8785,217.13,0.000%,1.96046,2.60,1.59,1358.7
14_Member Profile_MEMBER18 [SearchDiseaseRegularly],16110,261,22,6358,129.22,0.000%,2.86062,5.24,1.69,1876.9
15_OL_POLICY_DB_16 [ListPolicyDue],11054,5622,1054,211141,5200.45,0.009%,1.95986,1.67,1.12,871.1
03_Universal Life_MEMBER01 [SearchProfileByCustomerId],16367,283,36,6256,139.94,0.000%,2.90617,3.34,1.69,1176.2
04_Universal Life_POL_DB_02_01_PolicyDetailsOL,16371,1284,34,11635,786.74,0.000%,2.90575,3.79,1.73,1336.4
09_Unitlink_POL_DB_10_GetBeneficiaryInfo,5877,1430,67,11187,914.98,0.000%,1.04335,1.04,0.71,1020.8
03_MEMBER01 [SearchProfileByCustomerId],11039,284,34,6309,139.25,0.000%,1.96030,2.25,1.14,1176.0
06_Universal Life_POL_DB_05_GetRiderDetial,16365,325,9,6224,260.65,0.000%,2.90586,3.07,1.94,1082.0
OL_CSA-08 (SetPincode),11041,350,66,8864,182.40,0.000%,1.96048,1.19,1.25,621.0
10_Universal Life_POL_DB_10_GetBeneficiaryInfo,16374,1392,40,10919,887.11,0.000%,2.90582,2.86,1.95,1007.0
3_Member Profile_MEMBER03 [SearchFavoriteActivity],16108,260,17,8602,156.89,0.000%,2.86059,4.12,1.65,1476.1
04_Credit Life_POL_DB_02_02_PolicyDetailsCL,5648,1457,45,8509,939.55,0.000%,1.00248,1.29,0.63,1321.1
CSA-08 (SetPincode),29339,356,60,8871,198.31,0.000%,5.20970,3.16,3.61,621.3
08_Unitlink_POL_DB_11_GetPaymentHistory,5891,14033,119,44962,11185.32,3.531%,1.04057,4.46,0.70,4387.3
10_OL_POL_DB_04_GetLoanPremum,29048,1940,265,46082,2815.77,0.000%,5.13130,5.15,3.44,1027.2
06_OL_POL_DB_05_GetRiderDetial,11039,430,47,8648,232.98,0.000%,1.96040,4.24,1.31,2213.0
09_OL_POL_DB_07_GetDividendInfo,11074,7161,1710,21420,2010.90,0.000%,1.96345,5.78,1.32,3012.8
02_Credit Life_POL_DB_01_SearchPolicyByCustomerId,5651,3976,844,25321,2118.27,0.000%,1.00243,1.75,0.58,1783.4
05_Credit Life_POL_DB_03_NextPayPeriod,5647,246,14,6487,199.94,0.000%,1.00285,1.15,0.82,1173.1
4_Member Profile_MEMBER04 [SearchHospitalRegularly],16108,268,29,6264,122.46,0.000%,2.86063,86.49,1.66,30960.8
07_Universal Life_POL_DB_03_NextPayPeriod,16364,428,162,8866,164.46,0.000%,2.90580,3.40,2.34,1198.4
03_Credit Life_MEMBER01 [SearchProfileByCustomerId],5645,283,28,5359,128.88,0.000%,1.00255,1.15,0.58,1173.0
04_Unitlink_POL_DB_02_03_PolicyDetailsUnitLink,5880,1250,31,9703,755.34,0.000%,1.04378,1.49,0.64,1465.9
10_Unitlink_POL_DB_13_GetCurrentAVInfo,5874,795,407,7022,331.59,0.000%,1.04303,1.28,0.70,1259.8
07_OL_POL_DB_03_NextPayPeriod,11039,430,171,8881,222.21,0.000%,1.96044,2.60,1.59,1358.7
5_Member Profile_MEMBER05 [SearchEmergencyContact],16108,261,16,8591,159.16,0.000%,2.86060,2.20,1.65,788.1
06_Credit Life_POL_DB_05_GetRiderDetial,5647,357,46,8653,202.26,0.000%,1.00283,1.63,0.68,1662.9
11_Universal Life_POL_DB_12_GetCoverageOverview,16369,771,21,9067,318.59,0.000%,2.90667,2.22,1.67,782.0
01_Credit Life_CSA-09 (LoginPIN),5647,395,79,8877,196.44,0.000%,1.00305,0.61,0.69,621.0
6_Member Profile_MEMBER07 [UpdateCustomer],16107,264,21,8595,166.41,0.000%,2.86075,1.81,1.91,648.0
07_Credit Life_POL_DB_03_NextPayPeriod,5646,245,13,6336,171.92,0.000%,1.00288,1.15,0.82,1173.1
05_Unitlink_POL_DB_03_NextPayPeriod,5877,391,152,6568,146.42,0.000%,1.04370,1.23,0.85,1205.8
02_Unitlink_POL_DB_01_SearchPolicyByCustomerId,5883,6776,886,43731,6029.54,0.425%,1.03831,3.99,0.60,3937.8
03_Unitlink_MEMBER01 [SearchProfileByCustomerId],5879,281,36,6225,128.50,0.000%,1.04433,1.20,0.61,1178.7
08_Consumer Finance_POL_DB_11_GetPaymentHistory,1457,11114,74,44061,11231.79,2.471%,.25740,0.88,0.17,3492.3
09_Consumer Finance_POL_DB_10_GetBeneficiaryInfo,1453,245,9,6208,226.47,0.000%,.25874,0.29,0.18,1154.2
01_Consumer Finance_CSA-09 (LoginPIN),1453,387,107,1238,137.07,0.000%,.25872,0.16,0.18,621.0
02_Consumer Finance_POL_DB_01_SearchPolicyByCustomerId,1453,3520,812,43916,2578.79,0.138%,.25831,0.48,0.15,1916.2
03_Consumer Finance_MEMBER01 [SearchProfileByCustomerId],1453,272,58,1039,103.74,0.000%,.25840,0.30,0.15,1174.9
04_Consumer Finance_POL_DB_02_02_PolicyDetailsCL,1453,1063,68,7604,757.47,0.000%,.25835,0.32,0.16,1279.6
05_Consumer Finance_POL_DB_03_NextPayPeriod,1452,257,47,6295,189.56,0.000%,.25858,0.31,0.21,1244.9
06_Consumer Finance_POL_DB_05_GetRiderDetial,1452,450,57,1478,162.65,0.000%,.25856,0.63,0.17,2496.2
07_Consumer Finance_POL_DB_03_NextPayPeriod,1452,260,54,721,103.99,0.000%,.25857,0.31,0.21,1244.9
TOTAL,992062,1487,5,211141,3496.89,0.085%,137.26032,253.50,97.61,1891.2
