Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
03_Universal Life_MEMBER01 [SearchProfileByCustomerId],5617,33,19,1760,44.45,0.000%,1.56487,1.80,0.89,1177.4
02_OL_POL_DB_01_SearchPolicyByCustomerId,6070,788,579,10068,346.81,0.000%,1.69000,3.43,0.95,2077.7
04_Universal Life_POL_DB_02_01_PolicyDetailsOL,5612,35,6,2137,74.96,0.000%,1.56348,2.03,0.91,1328.3
03_MEMBER01 [SearchProfileByCustomerId],6065,32,19,2048,40.57,0.000%,1.69036,1.94,0.96,1175.0
04_OL_POL_DB_02_01_PolicyDetailsOL,6063,33,6,2315,65.49,0.000%,1.68998,2.20,0.99,1332.2
02_Unitlink_POL_DB_01_SearchPolicyByCustomerId,2905,958,580,7682,460.56,0.000%,.80912,3.38,0.46,4278.3
05_Universal Life_POL_DB_03_NextPayPeriod,5608,289,54,4863,219.82,0.000%,1.56231,1.64,1.27,1077.6
05_OL_POL_DB_03_NextPayPeriod,6059,288,46,6165,233.58,0.000%,1.68853,1.96,1.38,1186.3
06_Universal Life_POL_DB_05_GetRiderDetial,5597,155,16,8543,413.31,0.000%,1.55996,1.21,1.02,791.9
02_Credit Life_POL_DB_01_SearchPolicyByCustomerId,999,923,610,9513,546.01,0.000%,.27803,0.50,0.16,1847.2
06_OL_POL_DB_05_GetRiderDetial,6053,166,16,8724,405.64,0.000%,1.68730,1.61,1.11,974.9
3_Member Profile_MEMBER03 [SearchFavoriteActivity],731,17,8,410,21.10,0.000%,.20367,0.29,0.11,1461.4
02_Consumer Finance_POL_DB_01_SearchPolicyByCustomerId,569,932,610,5437,457.94,0.000%,.15852,0.33,0.09,2107.3
03_Consumer Finance_MEMBER01 [SearchProfileByCustomerId],569,33,20,229,20.49,0.000%,.15853,0.18,0.09,1174.6
04_Consumer Finance_POL_DB_02_02_PolicyDetailsCL,568,37,3,755,56.41,0.000%,.15820,0.19,0.10,1250.9
07_OL_POL_DB_03_NextPayPeriod,6048,278,43,7535,205.16,0.000%,1.68594,1.96,1.38,1189.4
03_Unitlink_MEMBER01 [SearchProfileByCustomerId],2905,33,19,1895,40.48,0.000%,.80926,0.93,0.46,1179.5
03_Credit Life_MEMBER01 [SearchProfileByCustomerId],998,32,20,313,21.99,0.000%,.27812,0.32,0.16,1172.0
04_Unitlink_POL_DB_02_03_PolicyDetailsUnitLink,2903,37,7,2485,71.84,0.000%,.80860,1.15,0.48,1455.9
05_Unitlink_POL_DB_03_NextPayPeriod,2901,257,53,6203,183.84,0.000%,.80811,0.86,0.66,1083.6
06_Unitlink_POL_DB_05_GetRiderDetial,2898,165,19,7950,439.79,0.000%,.80740,0.64,0.53,812.1
07_Unitlink_POL_DB_03_NextPayPeriod,2894,263,59,6420,222.20,0.000%,.80636,0.86,0.66,1087.5
07_Universal Life_POL_DB_03_NextPayPeriod,5593,286,55,8290,230.49,0.000%,1.55991,1.64,1.27,1077.1
4_Member Profile_MEMBER04 [SearchHospitalRegularly],729,26,14,1216,49.67,0.000%,.20392,6.16,0.12,30940.4
05_Consumer Finance_POL_DB_03_NextPayPeriod,567,93,2,4663,301.45,0.000%,.15813,0.19,0.13,1254.0
08_OL_POL_DB_11_GetPaymentHistory,6046,1533,60,11918,1386.10,0.000%,1.68473,3.56,1.11,2165.4
04_Credit Life_POL_DB_02_02_PolicyDetailsCL,997,44,3,1228,82.12,0.000%,.27793,0.35,0.17,1300.5
05_Credit Life_POL_DB_03_NextPayPeriod,995,6,2,209,14.54,0.000%,.27739,0.32,0.23,1182.8
06_Consumer Finance_POL_DB_05_GetRiderDetial,567,166,20,6508,359.17,0.000%,.15807,0.16,0.10,1046.7
07_Consumer Finance_POL_DB_03_NextPayPeriod,566,67,3,1774,131.29,0.000%,.15778,0.19,0.13,1254.0
CUS-20_searchCustomer,132,9056,4492,11411,1685.20,0.000%,.03669,0.09,0.02,2429.5
CUS-21_SearchByCustomerRef,131,150,96,324,45.14,0.000%,.03660,0.05,0.02,1400.5
08_Unitlink_POL_DB_11_GetPaymentHistory,2889,740,25,11192,873.97,0.000%,.80550,3.71,0.53,4712.6
09_Unitlink_POL_DB_10_GetBeneficiaryInfo,2888,27,3,1422,65.36,0.000%,.80561,0.79,0.53,1007.7
08_Universal Life_POL_DB_11_GetPaymentHistory,5588,410,38,8284,573.30,0.000%,1.55920,3.82,1.02,2506.0
09_OL_POL_DB_07_GetDividendInfo,6037,81,19,7117,231.04,0.000%,1.68489,2.66,1.11,1617.4
11_OL_POL_DB_10_GetBeneficiaryInfo,6030,27,2,2201,73.34,0.000%,1.68418,1.66,1.11,1009.3
CUS-22_DisplayPolicyList,131,891,592,3962,393.22,0.000%,.03660,0.06,0.02,1582.1
CUS-23_receiptDetail,131,98947,27,120021,45627.06,82.443%,.03535,0.03,0.02,871.2
5_Member Profile_MEMBER05 [SearchEmergencyContact],729,17,8,1125,46.56,0.000%,.20407,0.15,0.12,744.8
08_Consumer Finance_POL_DB_11_GetPaymentHistory,564,963,13,9506,1231.78,26.950%,.15819,0.35,0.10,2237.5
6_Member Profile_MEMBER07 [UpdateCustomer],729,17,8,298,20.97,0.000%,.20396,0.13,0.13,636.0
09_Consumer Finance_POL_DB_10_GetBeneficiaryInfo,564,18,3,298,26.64,0.000%,.15817,0.17,0.10,1122.0
7_Member Profile_MEMBER08 [UpdateMonthlyIncome],729,21,10,290,19.98,0.000%,.20368,0.13,0.42,636.0
8_Member Profile_MEMBER09 [UpdateFavoriteActivity],729,20,10,436,23.13,0.000%,.20368,0.12,0.40,627.0
09_Universal Life_POL_DB_04_GetLoanPremum,5586,3638,105,74918,11466.01,2.309%,1.55527,1.32,1.02,869.2
10_Universal Life_POL_DB_10_GetBeneficiaryInfo,5576,28,2,1551,70.89,0.000%,1.55641,1.51,1.02,991.2
11_Universal Life_POL_DB_12_GetCoverageOverview,5573,22,10,2672,50.39,0.000%,1.55537,1.17,0.87,768.0
CUS-25_searchByNextPremiumSummary,127,1067,604,3566,483.01,0.000%,.03576,0.02,0.02,655.3
10_Unitlink_POL_DB_13_GetCurrentAVInfo,2887,1577,626,7215,748.50,0.000%,.80492,0.99,0.53,1265.3
11_Unitlink_POL_DB_12_GetCoverageOverview,2886,21,11,1395,31.91,0.000%,.80527,0.60,0.45,768.0
9_Member Profile_MEMBER10 [UpdateHospitalRegularly],729,29,13,829,38.56,0.000%,.20348,0.12,0.22,628.8
06_Credit Life_POL_DB_05_GetRiderDetial,994,191,22,7837,518.80,0.000%,.27770,0.27,0.18,981.8
07_Credit Life_POL_DB_03_NextPayPeriod,994,5,2,145,10.71,0.000%,.27750,0.32,0.23,1182.8
12_OL_POL_DB_12_GetCoverageOverview,6025,1111,610,47150,1137.81,0.000%,1.68347,1.77,0.94,1077.4
13_OL_POLICY_DB_14 [SearchConsent],6021,76,46,2169,52.54,0.000%,1.68341,1.93,0.93,1172.7
14_OL_POLICY_DB_15 [InsertConsent],6020,1227,31,75445,8739.27,0.000%,1.68341,1.23,1.57,751.2
15_OL_POLICY_DB_16 [ListPolicyDue],6012,1296,584,32401,1057.59,0.000%,1.68077,1.31,0.93,795.2
10_Member Profile_MEMBER11 [UpdateEmergencyContact],728,21,10,399,27.49,0.000%,.20352,0.12,0.17,627.0
11_Member Profile_MEMBER13 [LookupRelationship],727,16,8,340,20.51,0.000%,.20334,0.43,0.12,2163.0
12_Member Profile_MEMBER16 [updateContactPOS],726,1331,29,6907,1261.84,0.000%,.20298,0.13,0.32,646.0
08_Credit Life_POL_DB_11_GetPaymentHistory,993,779,11,10667,774.28,27.492%,.27789,0.21,0.19,775.1
09_Credit Life_POL_DB_10_GetBeneficiaryInfo,993,21,2,356,30.75,1.410%,.27780,0.26,0.19,971.6
13_Member Profile_MEMBER17 [searchContactPOS],725,20,11,178,15.43,0.000%,.20301,0.20,0.13,986.1
14_Member Profile_MEMBER18 [SearchDiseaseRegularly],724,21,11,379,20.77,0.000%,.20369,0.37,0.12,1846.8
19_Member Profile_MEMBER19 [updateDiseaseRegularly],724,27,12,431,26.07,0.000%,.20370,0.12,0.58,624.9
TOTAL,249671,538,2,120021,3448.39,0.272%,67.05560,88.21,45.71,1347.1
