Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
06_OL_POL_DB_05_GetRiderDetial,5295,257,32,7519,269.33,0.000%,1.47460,3.04,0.97,2112.0
04_Unitlink_POL_DB_02_03_PolicyDetailsUnitLink,3116,174,8,7106,287.81,0.000%,.86790,1.24,0.52,1468.4
03_Credit Life_MEMBER01 [SearchProfileByCustomerId],1189,126,54,1021,68.12,0.000%,.33136,0.39,0.19,1190.8
05_Unitlink_POL_DB_03_NextPayPeriod,3115,385,228,6274,156.80,0.000%,.86730,1.03,0.71,1216.6
07_OL_POL_DB_03_NextPayPeriod,5292,411,230,7219,202.79,0.000%,1.47348,1.96,1.21,1364.3
06_Unitlink_POL_DB_05_GetRiderDetial,3113,163,19,6774,256.00,0.000%,.86715,0.99,0.57,1169.5
04_Credit Life_POL_DB_02_02_PolicyDetailsCL,1187,401,15,2810,345.73,0.000%,.33095,0.42,0.20,1310.9
04_Universal Life_POL_DB_02_01_PolicyDetailsOL,6067,178,6,6835,315.51,0.000%,1.69033,2.24,0.98,1357.5
07_Unitlink_POL_DB_03_NextPayPeriod,3112,386,231,7009,135.32,0.000%,.86703,1.03,0.71,1216.6
05_Credit Life_POL_DB_03_NextPayPeriod,1185,14,2,6499,189.96,0.000%,.33097,0.38,0.27,1184.8
05_Universal Life_POL_DB_03_NextPayPeriod,6065,420,221,7971,245.88,0.000%,1.68981,2.00,1.38,1210.4
06_Universal Life_POL_DB_05_GetRiderDetial,6060,156,21,7113,232.06,0.000%,1.68908,1.76,1.10,1067.8
2_Member Profile_MEMBER02 [SearchMonthlyIncome],890,37,9,6630,225.52,0.000%,.24803,0.29,0.14,1202.1
3_Member Profile_MEMBER03 [SearchFavoriteActivity],889,36,8,6916,234.92,0.000%,.24784,0.35,0.14,1461.1
4_Member Profile_MEMBER04 [SearchHospitalRegularly],888,36,14,667,45.78,0.000%,.24762,7.48,0.14,30939.4
07_Universal Life_POL_DB_03_NextPayPeriod,6056,419,244,7764,188.00,0.000%,1.68784,2.00,1.38,1210.4
5_Member Profile_MEMBER05 [SearchEmergencyContact],888,28,8,1048,53.11,0.000%,.24762,0.19,0.14,792.1
08_Universal Life_POL_DB_11_GetPaymentHistory,6053,1311,67,27297,2257.64,0.000%,1.68642,4.56,1.11,2765.9
06_Credit Life_POL_DB_05_GetRiderDetial,1185,223,35,1493,107.72,0.000%,.33079,0.54,0.22,1657.0
07_Credit Life_POL_DB_03_NextPayPeriod,1183,9,2,302,24.03,0.000%,.33032,0.38,0.27,1184.8
6_Member Profile_MEMBER07 [UpdateCustomer],888,29,8,430,37.65,0.000%,.24757,0.15,0.16,636.0
09_Universal Life_POL_DB_04_GetLoanPremum,6048,4488,144,74798,11283.61,2.447%,1.65595,1.41,1.08,871.3
10_Universal Life_POL_DB_10_GetBeneficiaryInfo,6035,204,3,8610,388.81,0.000%,1.68313,1.63,1.11,993.7
11_Universal Life_POL_DB_12_GetCoverageOverview,6030,40,10,8220,242.74,0.000%,1.68139,1.26,0.94,770.0
CUS-20_searchCustomer,471,8034,4535,10971,2022.16,0.000%,.13105,0.33,0.08,2565.9
07_Consumer Finance_POL_DB_03_NextPayPeriod,606,79,3,484,56.92,0.000%,.16905,0.21,0.14,1253.5
08_Unitlink_POL_DB_11_GetPaymentHistory,3111,2339,46,30836,3369.54,0.000%,.86735,4.09,0.57,4823.5
CUS-21_SearchByCustomerRef,470,1206,1007,2568,135.23,0.000%,.13128,0.18,0.08,1423.0
08_OL_POL_DB_11_GetPaymentHistory,5289,6947,4271,27730,1757.84,0.000%,1.47130,5.83,0.97,4058.2
09_Unitlink_POL_DB_10_GetBeneficiaryInfo,3105,152,5,8243,362.16,0.000%,.86679,0.85,0.57,1009.8
09_OL_POL_DB_07_GetDividendInfo,5277,2234,513,11091,754.88,0.000%,1.47191,4.24,0.97,2948.9
7_Member Profile_MEMBER08 [UpdateMonthlyIncome],887,46,10,7145,295.88,0.000%,.24769,0.15,0.51,636.0
8_Member Profile_MEMBER09 [UpdateFavoriteActivity],887,35,11,642,48.17,0.000%,.24769,0.15,0.49,627.0
9_Member Profile_MEMBER10 [UpdateHospitalRegularly],887,53,12,7268,249.67,0.000%,.24761,0.15,0.27,628.9
CUS-22_DisplayPolicyList,470,1089,609,9427,834.60,0.000%,.13130,0.18,0.06,1433.4
10_Member Profile_MEMBER11 [UpdateEmergencyContact],886,34,11,620,43.02,0.000%,.24741,0.15,0.21,627.0
10_OL_POL_DB_04_GetLoanPremum,5265,1314,111,53026,4135.74,0.000%,1.45485,1.44,0.96,1013.3
11_Member Profile_MEMBER13 [LookupRelationship],886,32,8,5310,180.91,0.000%,.24736,0.52,0.15,2163.0
08_Consumer Finance_POL_DB_11_GetPaymentHistory,605,3391,13,29545,3988.14,0.000%,.16879,0.76,0.11,4617.5
09_Consumer Finance_POL_DB_10_GetBeneficiaryInfo,604,32,2,6219,253.16,0.000%,.16858,0.18,0.11,1110.4
12_Member Profile_MEMBER16 [updateContactPOS],885,1067,24,7173,1018.73,0.000%,.24713,0.16,0.39,646.0
13_Member Profile_MEMBER17 [searchContactPOS],885,35,10,6145,207.53,0.000%,.24703,0.24,0.15,979.8
14_Member Profile_MEMBER18 [SearchDiseaseRegularly],884,39,11,5457,186.39,0.000%,.24673,0.44,0.15,1845.6
CUS-23_receiptDetail,470,80,19,555,57.30,0.000%,.13128,0.10,0.08,790.2
10_Unitlink_POL_DB_13_GetCurrentAVInfo,3104,2425,754,10696,938.67,0.000%,.86586,1.09,0.57,1288.0
CUS-25_searchByNextPremiumSummary,469,1339,596,15984,985.09,0.000%,.13102,0.08,0.08,643.2
08_Credit Life_POL_DB_11_GetPaymentHistory,1183,1347,15,9563,600.77,0.000%,.33047,0.27,0.22,826.2
09_Credit Life_POL_DB_10_GetBeneficiaryInfo,1182,35,3,6223,252.35,1.184%,.33032,0.31,0.22,972.9
11_OL_POL_DB_10_GetBeneficiaryInfo,5260,193,2,7306,348.17,0.000%,1.46936,1.45,0.97,1009.9
11_Unitlink_POL_DB_12_GetCoverageOverview,3099,42,10,7976,241.08,0.000%,.86595,0.65,0.49,770.0
19_Member Profile_MEMBER19 [updateDiseaseRegularly],883,49,12,6895,235.48,0.000%,.24682,0.15,0.71,624.9
12_OL_POL_DB_12_GetCoverageOverview,5258,1895,637,50183,2050.74,0.514%,1.47072,3.54,0.82,2461.7
13_OL_POLICY_DB_14 [SearchConsent],5253,103,47,7035,178.94,0.000%,1.47034,1.71,0.81,1193.3
14_OL_POLICY_DB_15 [InsertConsent],5253,1371,35,75101,9141.94,0.000%,1.45662,1.07,1.37,753.2
15_OL_POLICY_DB_16 [ListPolicyDue],5247,2224,606,59554,2486.55,0.000%,1.46879,1.23,0.81,854.7
TOTAL,249520,885,2,75101,2823.88,0.078%,68.01659,103.10,46.88,1552.2
