applicationid,applicationno,agentid
46080,620004747,0000626671
46076,620004744,0000617126
46078,620004746,0000631481
46079,620004748,0000508962
46077,620004743,0000003868
46075,620004745,0000644355
46074,620004742,0000642039
46073,620004741,0000632550
46072,620004740,0000550175
46071,620004739,0000108027
46069,620004737,0000573403
46068,620004736,0000164149
46066,620004734,0000337497
46067,620004735,0000072616
46065,620004733,0000628351
46063,620004730,0000531336
46064,620004732,0000564143
46062,620004731,0000016764
46061,620004729,0000005057
46060,620004727,0000550124
46058,620004726,0000635982
46057,620004725,0000063555
46056,620004723,0000093842
46055,620004724,0000528551
46054,620004719,0000012552
46053,620004722,0000632628
46052,620004721,0000658348
46051,620004720,0000653699
46050,620004718,0000657361
46049,620004716,0000006921
46046,620004714,0000628055
46047,620004715,0000694128
46048,620004717,0000221584
46042,620004710,0000656809
46043,620004712,0000019731
46045,620004713,0000195560
46039,620004707,0000015545
46038,620004706,0000017627
46040,620004708,0000521318
46037,620004705,0000617286
46036,620004704,0000016970
46035,620004703,0000016423
46034,620004702,0000637425
46033,620004701,0000027292
46032,620004700,0000618092
46007,620004670,0000531336
46000,620004667,0000016764
45999,620004666,0000632550
45984,620004651,0000653699
45983,620004650,0000521318
45982,620004649,0000164149
45981,620004648,0000632550
45980,620004647,0000221584
45979,620004646,0000093842
45978,620004645,0000694128
45977,620004644,0000016764
45976,620004643,0000617286
45975,620004642,0000337497
45973,620004640,0000564143
45972,620004639,0000015545
45971,620004638,0000661322
45970,620004637,0000531336
45969,620004635,0000631481
45968,620004633,0000016423
45966,620004634,0000003868
45965,620004628,0000019731
45967,620004636,0000626671
45961,620004631,0000617126
45963,620004629,0000012552
45962,620004632,0000657361
45959,620004626,0000628055
45958,620004623,0000508962
45957,620004618,0000016970
45956,620004625,0000550124
45960,620004627,0000644355
45955,620004624,0000618092
45954,620004622,0000637425
45953,620004621,0000006921
45950,620004616,0000005057
45948,620004615,0000658348
45951,620004620,0000072616
45949,620004617,0000573403
45947,620004614,0000628351
45946,620004612,0000195560
45945,620004613,0000017627
45943,620004610,0000063555
45944,620004611,0000528551
45941,620004608,0000632628
45940,620004607,0000550175
45939,620004606,0000656809
45938,620004605,0000642039
45937,620004604,0000108027
45936,620004603,0000635982
45914,620004578,0000653699
45912,620004575,0000221584
45897,620004564,0000644355
45888,620004552,0000015545
45887,620004554,0000657361
45885,620004551,0000017627
45886,620004553,0000531336
45883,620004549,0000063555
45884,620004550,0000632628
45882,620004548,0000508962
45881,620004547,0000016764
45878,620004546,0000337497
45879,620004544,0000637425
45876,620004542,0000108027
45877,620004543,0000005057
45875,620004541,0000617126
45872,620004537,0000550175
45873,620004539,0000003868
45871,620004538,0000016423
45870,620004534,0000653699
45869,620004536,0000027292
45867,620004533,0000628055
45868,620004535,0000635982
45866,620004532,0000617286
45864,620004530,0000631481
45865,620004531,0000012552
45863,620004529,0000661322
45862,620004528,0000632550
45860,620004526,0000164149
45861,620004527,0000072616
45858,620004524,0000006921
45859,620004525,0000019731
45856,620004520,0000656809
45854,620004519,0000626671
45852,620004518,0000564143
45853,620004517,0000642039
45851,620004516,0000658348
45849,620004514,0000694128
45850,620004515,0000221584
45848,620004513,0000628351
45846,620004511,0000644355
45847,620004512,0000550124
45845,620004510,0000521318
45844,620004509,0000618092
45843,620004508,0000528551
45842,620004507,0000573403
45841,620004506,0000093842
45840,620004505,0000016970
45811,620004475,0000632550
45809,620004476,0000337497
45807,620004472,0000027292
45791,620004456,0000694128
45790,620004455,0000108027
45789,620004454,0000637425
45788,620004453,0000528551
45787,620004452,0000635982
45786,620004451,0000642039
45785,620004450,0000531336
45784,620004449,0000006921
45782,620004448,0000658348
45781,620004446,0000573403
45780,620004445,0000093842
45779,620004444,0000012552
45778,620004442,0000618092
45776,620004440,0000656809
45775,620004437,0000657361
45773,620004439,0000063555
45771,620004436,0000027292
45774,620004441,0000019731
45772,620004438,0000072616
45770,620004435,0000005057
45769,620004434,0000508962
45768,620004433,0000016764
45766,620004427,0000550124
45765,620004431,0000631481
45764,620004430,0000632550
45767,620004432,0000015545
45762,620004429,0000564143
45763,620004428,0000221584
45761,620004424,0000628351
45758,620004423,0000626671
45757,620004421,0000644355
45759,620004426,0000521318
45756,620004422,0000016423
45755,620004420,0000617286
45753,620004417,0000653699
45751,620004416,0000337497
45752,620004418,0000550175
45750,620004415,0000661322
45749,620004414,0000628055
45746,620004412,0000016970
45748,620004413,0000003868
45747,620004411,0000164149
45745,620004410,0000017627
45744,620004409,0000632628
45743,620004408,0000195560
45742,620004407,0000617126
45715,620004382,0000108027
45705,620004370,0000564143
45701,620004366,0000632550
45693,620004358,0000573403
45692,620004357,0000531336
45691,620004356,0000637425
45689,620004354,0000694128
45690,620004355,0000632628
45688,620004353,0000017627
45687,620004352,0000019731
45686,620004351,0000521318
45685,620004350,0000631481
45683,620004348,0000653699
45679,620004345,0000027292
45681,620004346,0000164149
45678,620004341,0000063555
45676,620004342,0000661322
45680,620004343,0000005057
45677,620004338,0000072616
45674,620004340,0000528551
45675,620004344,0000626671
45673,620004339,0000656809
45672,620004337,0000337497
45671,620004332,0000628351
45669,620004334,0000006921
45670,620004335,0000635982
45668,620004336,0000550175
45667,620004333,0000016764
45666,620004331,0000642039
45665,620004330,0000658348
45663,620004328,0000012552
45664,620004329,0000657361
45662,620004327,0000644355
45660,620004325,0000508962
45658,620004324,0000617286
45659,620004323,0000221584
45657,620004322,0000618092
45655,620004320,0000016970
45653,620004318,0000108027
45654,620004319,0000632550
45652,620004317,0000564143
45651,620004316,0000550124
45650,620004315,0000195560
45649,620004314,0000003868
45648,620004313,0000016423
45647,620004312,0000015545
45646,620004311,0000628055
45645,620004310,0000617126
45644,620004309,0000093842
45622,620004285,0000573403
45619,620004284,0000628351
45616,620004281,0000653699
45596,620004260,0000072616
45595,620004258,0000528551
45594,620004259,0000016423
45593,620004257,0000653699
45592,620004256,0000550175
45591,620004255,0000635982
45590,620004254,0000628351
45589,620004253,0000016970
45588,620004252,0000005057
45587,620004251,0000628055
45585,620004249,0000657361
45584,620004247,0000521318
45583,620004248,0000337497
45579,620004245,0000093842
45580,620004244,0000564143
45581,620004243,0000019731
45578,620004242,0000017627
45577,620004241,0000027292
45576,620004240,0000016764
45573,620004237,0000195560
45575,620004239,0000617126
45574,620004238,0000617286
45571,620004236,0000631481
45570,620004235,0000632628
45569,620004234,0000221584
45568,620004232,0000618092
45566,620004231,0000573403
45567,620004230,0000637425
45565,620004229,0000063555
45564,620004228,0000550124
45563,620004227,0000632550
45560,620004224,0000644355
45562,620004226,0000508962
45561,620004225,0000642039
45559,620004223,0000015545
45557,620004220,0000003868
45558,620004221,0000661322
45556,620004222,0000656809
45555,620004219,0000626671
45553,620004218,0000108027
45552,620004216,0000531336
45551,620004215,0000694128
45550,620004214,0000658348
45549,620004213,0000164149
45548,620004212,0000012552
45547,620004211,0000006921
45525,620004187,0000005057
45528,620004190,0000618092
45519,620004185,0000635982
45499,620004162,0000564143
45498,620004161,0000337497
45497,620004160,0000093842
45496,620004159,0000694128
45495,620004158,0000195560
45494,620004156,0000617286
45493,620004157,0000626671
45492,620004154,0000573403
45491,620004155,0000063555
45490,620004153,0000017627
45487,620004148,0000221584
45488,620004151,0000003868
45486,620004149,0000006921
45485,620004145,0000016764
45484,620004150,0000164149
45482,620004147,0000550175
45480,620004144,0000661322
45483,620004146,0000005057
45481,620004142,0000528551
45479,620004143,0000508962
45475,620004138,0000632628
45476,620004131,0000618092
45471,620004135,0000657361
45474,620004133,0000019731
45472,620004136,0000531336
45470,620004130,0000521318
45473,620004137,0000642039
45467,620004129,0000632550
45468,620004132,0000628055
45469,620004134,0000012552
45466,620004128,0000108027
45464,620004125,0000628351
45465,620004127,0000653699
45462,620004123,0000015545
45463,620004126,0000658348
45461,620004124,0000617126
45460,620004122,0000027292
45459,620004121,0000016423
45458,620004120,0000631481
45456,620004118,0000072616
45455,620004117,0000016970
45454,620004116,0000550124
45429,620004086,0000617286
45428,620004089,0000573403
45426,620004087,0000656809
45407,620004067,0000005057
45406,620004065,0000093842
45405,620004066,0000653699
45403,620004064,0000626671
45402,620004062,0000006921
45404,620004063,0000573403
45401,620004060,0000016764
45400,620004061,0000531336
45399,620004059,0000637425
45398,620004058,0000635982
45396,620004056,0000017627
45395,620004054,0000644355
45394,620004055,0000195560
45393,620004053,0000550175
45392,620004052,0000617286
45389,620004050,0000063555
45388,620004049,0000108027
45390,620004051,0000027292
45386,620004048,0000632628
45387,620004046,0000564143
45385,620004045,0000658348
45384,620004044,0000164149
45383,620004043,0000003868
45382,620004041,0000012552
45379,620004040,0000521318
45380,620004039,0000550124
45381,620004042,0000628055
45378,620004035,0000337497
45376,620004037,0000016423
45377,620004038,0000617126
45373,620004034,0000657361
45375,620004033,0000628351
45372,620004032,0000661322
45371,620004028,0000015545
45369,620004029,0000631481
45370,620004031,0000694128
45368,620004030,0000528551
45367,620004026,0000508962
45364,620004024,0000632550
45365,620004027,0000221584
45363,620004023,0000642039
45362,620004022,0000656809
45361,620004021,0000016970
45360,620004020,0000072616
45359,620004019,0000618092
45329,620003987,0000628351
45324,620003983,0000632628
45322,620003984,0000632550
45310,620003968,0000626671
45309,620003970,0000653699
45308,620003969,0000027292
45307,620003967,0000006921
45306,620003966,0000694128
45305,620003965,0000632628
45304,620003964,0000003868
45303,620003963,0000573403
45302,620003962,0000063555
45300,620003960,0000016423
45299,620003959,0000072616
45298,620003958,0000550124
45297,620003957,0000508962
45295,620003955,0000015545
45296,620003956,0000617126
45293,620003953,0000108027
45294,620003954,0000528551
45292,620003952,0000531336
45288,620003948,0000628351
45289,620003950,0000093842
45291,620003945,0000661322
45290,620003949,0000658348
45287,620003947,0000012552
45286,620003946,0000618092
45285,620003942,0000337497
45284,620003944,0000564143
45283,620003941,0000019731
45281,620003939,0000221584
45282,620003943,0000642039
45278,620003937,0000521318
45277,620003933,0000550175
45279,620003938,0000644355
45275,620003936,0000016970
45276,620003935,0000617286
45273,620003932,0000628055
45274,620003934,0000195560
45272,620003931,0000637425
45271,620003930,0000632550
45269,620003928,0000005057
45267,620003926,0000657361
45268,620003927,0000016764
45266,620003925,0000635982
45265,620003924,0000164149
45264,620003923,0000017627
45245,620003904,0000632628
45240,620003897,0000694128
45237,620003894,0000521318
45216,620003873,0000618092
45215,620003875,0000653699
45213,620003872,0000550124
45214,620003874,0000195560
45212,620003871,0000661322
45211,620003870,0000635982
45210,620003869,0000093842
45209,620003868,0000063555
45208,620003867,0000617126
45207,620003866,0000337497
45205,620003863,0000531336
45204,620003864,0000694128
45203,620003862,0000017627
45202,620003861,0000628351
45200,620003859,0000644355
45199,620003857,0000508962
45201,620003860,0000016423
45198,620003858,0000637425
45194,620003851,0000550175
45195,620003855,0000656809
45193,620003847,0000521318
45196,620003856,0000005057
45192,620003849,0000658348
45190,620003852,0000164149
45191,620003853,0000617286
45189,620003850,0000012552
45188,620003848,0000628055
45186,620003844,0000015545
45185,620003846,0000631481
45184,620003843,0000657361
45183,620003842,0000108027
45182,620003840,0000221584
45179,620003839,0000528551
45181,620003838,0000632628
45178,620003837,0000632550
45175,620003834,0000626671
45176,620003836,0000006921
45177,620003835,0000642039
45173,620003832,0000072616
45174,620003833,0000027292
45171,620003831,0000003868
45172,620003830,0000016970
45170,620003829,0000573403
45169,620003828,0000564143
45168,620003827,0000016764
45167,620003826,0000019731
45139,620003797,0000657361
45136,620003795,0000637425
45138,620003799,0000195560
45118,620003775,0000012552
45117,620003777,0000635982
45116,620003776,0000626671
45115,620003774,0000632550
45114,620003773,0000656809
45113,620003772,0000631481
45111,620003770,0000653699
45112,620003771,0000337497
45110,620003769,0000016423
45109,620003768,0000632628
45108,620003767,0000564143
45106,620003765,0000637425
45105,620003764,0000005057
45103,620003761,0000618092
45102,620003762,0000642039
45104,620003763,0000164149
45101,620003760,0000550124
45100,620003759,0000015545
45098,620003756,0000628351
45096,620003748,0000063555
45099,620003758,0000195560
45094,620003754,0000093842
45097,620003757,0000221584
45095,620003753,0000508962
45092,620003746,0000017627
45091,620003750,0000531336
45093,620003752,0000019731
45089,620003747,0000661322
45090,620003751,0000694128
45088,620003749,0000658348
45087,620003743,0000003868
45086,620003744,0000573403
45085,620003745,0000657361
45083,620003741,0000644355
45082,620003740,0000628055
45080,620003737,0000521318
45081,620003739,0000072616
45079,620003738,0000108027
45078,620003736,0000006921
45077,620003734,0000027292
45075,620003733,0000528551
45073,620003732,0000016764
45072,620003730,0000617286
45074,620003731,0000550175
45071,620003729,0000016970
45070,620003728,0000617126
45048,620003704,0000653699
45043,620003702,0000635982
45042,620003700,0000164149
45021,620003676,0000631481
45020,620003679,0000531336
45019,620003678,0000564143
45018,620003677,0000015545
45017,620003675,0000628055
45016,620003674,0000017627
45015,620003672,0000108027
45014,620003673,0000550124
45013,620003671,0000632550
45011,620003669,0000626671
45010,620003668,0000573403
45009,620003667,0000521318
45008,620003666,0000063555
45007,620003665,0000628351
45006,620003664,0000637425
45002,620003662,0000658348
45003,620003661,0000657361
45005,620003663,0000003868
45001,620003660,0000337497
45000,620003657,0000653699
44999,620003658,0000016970
44998,620003656,0000644355
44995,620003653,0000019731
44996,620003655,0000528551
44994,620003652,0000072616
44997,620003654,0000550175
44993,620003651,0000508962
44991,620003649,0000012552
44990,620003646,0000617286
44992,620003650,0000195560
44987,620003645,0000632628
44986,620003643,0000694128
44984,620003640,0000656809
44983,620003642,0000642039
44981,620003638,0000093842
44985,620003644,0000635982
44982,620003639,0000618092
44980,620003637,0000016423
44979,620003636,0000164149
44978,620003635,0000221584
44977,620003633,0000016764
44976,620003634,0000617126
44975,620003632,0000027292
44974,620003631,0000661322
44973,620003630,0000005057
44945,620003596,0000108027
44944,620003602,0000521318
44940,620003598,0000618092
44925,620003581,0000063555
44924,620003580,0000003868
44923,620003579,0000635982
44921,620003578,0000016764
44922,620003577,0000656809
44920,620003576,0000108027
44918,620003574,0000626671
44917,620003573,0000658348
44919,620003575,0000653699
44915,620003571,0000628055
44914,620003570,0000644355
44913,620003569,0000550124
44912,620003567,0000637425
44910,620003568,0000195560
44909,620003565,0000006921
44911,620003566,0000528551
44907,620003561,0000632550
44908,620003564,0000661322
44906,620003562,0000642039
44904,620003559,0000012552
44902,620003557,0000015545
44903,620003558,0000016970
44901,620003556,0000016423
44899,620003553,0000632628
44898,620003554,0000017627
44900,620003555,0000564143
44894,620003549,0000631481
44897,620003550,0000093842
44895,620003552,0000573403
44893,620003548,0000072616
44892,620003547,0000617286
44891,620003545,0000027292
44890,620003546,0000657361
44889,620003544,0000508962
44887,620003543,0000521318
44888,620003542,0000337497
44886,620003541,0000019731
44884,620003539,0000164149
44885,620003540,0000618092
44882,620003537,0000628351
44881,620003536,0000221584
44880,620003535,0000531336
44879,620003534,0000550175
44878,620003533,0000617126
44877,620003532,0000694128
44849,620003503,0000528551
44845,620003499,0000019731
44840,620003492,0000635982
44828,620003481,0000617126
44829,620003483,0000093842
44827,620003482,0000628055
44826,620003480,0000656809
44825,620003479,0000027292
44824,620003478,0000637425
44823,620003477,0000632550
44822,620003476,0000531336
44821,620003475,0000617286
44820,620003474,0000657361
44818,620003472,0000195560
44817,620003471,0000063555
44814,620003468,0000108027
44813,620003467,0000658348
44815,620003464,0000521318
44811,620003465,0000221584
44809,620003466,0000653699
44810,620003462,0000661322
44812,620003469,0000016423
44808,620003463,0000642039
44807,620003461,0000016764
44806,620003460,0000012552
44805,620003459,0000626671
44804,620003458,0000628351
44803,620003457,0000006921
44800,620003454,0000017627
44802,620003456,0000573403
44801,620003455,0000019731
44799,620003452,0000005057
44798,620003453,0000550175
44796,620003450,0000631481
44795,620003448,0000015545
44794,620003449,0000337497
44793,620003445,0000072616
44792,620003447,0000550124
44791,620003446,0000618092
44790,620003444,0000694128
44789,620003443,0000016970
44788,620003440,0000003868
44786,620003441,0000164149
44784,620003438,0000508962
44783,620003439,0000632628
44785,620003437,0000528551
44782,620003436,0000644355
44781,620003435,0000564143
44780,620003434,0000635982
44768,620003405,0000617286
44769,620003408,0000658348
44752,620003413,0000637425
44738,620003382,0000019731
44734,620003379,0000550175
44736,620003381,0000644355
44737,620003383,0000528551
44735,620003380,0000072616
44733,620003378,0000016423
44732,620003377,0000658348
44731,620003376,0000508962
44730,620003375,0000016764
44729,620003374,0000521318
44727,620003372,0000661322
44726,620003371,0000003868
44725,620003370,0000628351
44724,620003369,0000632550
44723,620003368,0000550124
44722,620003366,0000108027
44721,620003367,0000573403
44720,620003365,0000017627
44718,620003359,0000694128
44715,620003360,0000564143
44714,620003362,0000642039
44717,620003364,0000337497
44716,620003361,0000006921
44711,620003356,0000631481
44713,620003357,0000656809
44710,620003354,0000012552
44712,620003358,0000626671
44708,620003353,0000164149
44709,620003355,0000628055
44706,620003352,0000617286
44705,620003349,0000015545
44701,620003347,0000617126
44704,620003350,0000016970
44703,620003348,0000632628
44702,620003346,0000618092
44700,620003345,0000093842
44699,620003344,0000195560
44698,620003343,0000531336
44696,620003341,0000653699
44697,620003342,0000063555
44693,620003339,0000221584
44694,620003337,0000635982
44692,620003338,0000637425
44691,620003336,0000657361
44690,620003335,0000027292
44689,620003334,0000005057
44661,620003305,0000195560
44660,620003304,0000661322
44662,620003306,0000093842
44641,620003284,0000195560
44640,620003285,0000653699
44639,620003283,0000012552
44638,620003282,0000093842
44637,620003281,0000626671
44636,620003280,0000628351
44635,620003278,0000694128
44634,620003279,0000637425
44633,620003277,0000003868
44632,620003276,0000618092
44630,620003274,0000617126
44629,620003273,0000005057
44628,620003272,0000164149
44627,620003270,0000631481
44626,620003271,0000017627
44625,620003269,0000108027
44624,620003268,0000337497
44622,620003266,0000221584
44623,620003267,0000531336
44620,620003264,0000521318
44619,620003263,0000027292
44618,620003262,0000661322
44617,620003258,0000016970
44616,620003261,0000617286
44615,620003260,0000564143
44612,620003253,0000658348
44614,620003259,0000635982
44610,620003256,0000632550
44611,620003257,0000656809
44613,620003254,0000642039
44608,620003252,0000015545
44607,620003250,0000628055
44606,620003251,0000016764
44605,620003249,0000573403
44604,620003248,0000550175
44603,620003246,0000644355
44602,620003247,0000019731
44600,620003244,0000006921
44601,620003245,0000632628
44598,620003241,0000550124
44597,620003242,0000016423
44596,620003240,0000072616
44595,620003239,0000528551
44594,620003238,0000508962
44593,620003237,0000657361
44567,620003210,0000550175
44565,620003208,0000658348
44556,620003199,0000653699
44545,620003189,0000164149
44544,620003188,0000016423
44543,620003186,0000564143
44542,620003187,0000637425
44541,620003185,0000657361
44540,620003184,0000528551
44539,620003183,0000012552
44538,620003182,0000631481
44536,620003179,0000221584
44537,620003181,0000628351
44533,620003177,0000642039
44532,620003175,0000658348
44535,620003178,0000508962
44531,620003173,0000017627
44527,620003171,0000063555
44529,620003174,0000628055
44530,620003176,0000521318
44528,620003172,0000006921
44525,620003168,0000093842
44526,620003170,0000016970
44521,620003165,0000550124
44523,620003167,0000656809
44520,620003164,0000573403
44522,620003166,0000337497
44516,620003161,0000531336
44519,620003162,0000005057
44517,620003163,0000661322
44515,620003158,0000618092
44514,620003160,0000108027
44513,620003157,0000072616
44511,620003155,0000027292
44512,620003156,0000003868
44508,620003151,0000653699
44510,620003152,0000617286
44507,620003150,0000617126
44509,620003153,0000694128
44505,620003148,0000626671
44504,620003147,0000195560
44503,620003146,0000644355
44502,620003145,0000635982
44501,620003144,0000016764
44500,620003143,0000632628
44499,620003142,0000632550
44498,620003141,0000550175
44468,620003109,0000016970
44466,620003105,0000631481
44464,620003106,0000337497
44451,620003092,0000337497
44450,620003091,0000618092
44449,620003090,0000164149
44448,620003089,0000635982
44447,620003088,0000528551
44446,620003086,0000637425
44445,620003087,0000626671
44443,620003081,0000632628
44440,620003084,0000550175
44439,620003079,0000003868
44441,620003083,0000642039
44442,620003085,0000694128
44438,620003080,0000063555
44437,620003078,0000632550
44436,620003077,0000657361
44435,620003073,0000644355
44433,620003076,0000016764
44432,620003075,0000015545
44431,620003070,0000005057
44434,620003071,0000016423
44428,620003069,0000108027
44429,620003074,0000661322
44427,620003068,0000550124
44426,620003067,0000617126
44425,620003065,0000656809
44423,620003064,0000628055
44422,620003062,0000006921
44424,620003066,0000012552
44419,620003060,0000016970
44421,620003063,0000017627
44418,620003059,0000019731
44417,620003058,0000027292
44416,620003057,0000072616
44415,620003056,0000631481
44414,620003055,0000617286
44413,620003054,0000658348
44411,620003053,0000628351
44412,620003052,0000093842
44410,620003051,0000521318
44408,620003050,0000221584
44407,620003048,0000573403
44406,620003047,0000564143
44405,620003046,0000531336
44404,620003045,0000653699
44403,620003044,0000508962
44402,620003043,0000195560
44379,620003015,0000016423
44382,620003019,0000108027
44375,620003014,0000618092
44356,620002995,0000632550
44355,620002994,0000635982
44354,620002993,0000617126
44350,620002990,0000521318
44352,620002989,0000003868
44349,620002987,0000531336
44353,620002988,0000012552
44351,620002991,0000658348
44346,620002984,0000618092
44348,620002986,0000063555
44345,620002983,0000573403
44344,620002982,0000644355
44341,620002978,0000006921
44342,620002980,0000016764
44343,620002981,0000632628
44339,620002977,0000027292
44340,620002979,0000637425
44335,620002973,0000221584
44338,620002976,0000072616
44336,620002974,0000017627
44333,620002971,0000016970
44334,620002972,0000617286
44332,620002970,0000631481
44330,620002968,0000005057
44329,620002967,0000661322
44331,620002969,0000656809
44328,620002966,0000164149
44325,620002962,0000016423
44327,620002965,0000550124
44324,620002963,0000528551
44322,620002961,0000015545
44323,620002960,0000642039
44321,620002959,0000626671
44320,620002954,0000694128
44319,620002958,0000628055
44317,620002956,0000195560
44316,620002955,0000508962
44315,620002953,0000550175
44314,620002952,0000653699
44312,620002950,0000093842
44313,620002951,0000628351
44311,620002949,0000337497
44310,620002948,0000019731
44309,620002947,0000108027
44308,620002946,0000657361
44295,620002931,0000573403
44279,620002918,0000564143
34769,610009505,0000009863
44269,620002907,0000531336
44259,620002897,0000019731
44258,620002896,0000521318
44257,620002895,0000628055
44256,620002894,0000337497
44255,620002891,0000661322
44254,620002893,0000632550
44253,620002892,0000027292
44251,620002889,0000508962
44249,620002888,0000635982
44250,620002890,0000628351
44248,620002884,0000006921
